"Ngày","Lần cuối","Mở","Cao","Thấp","% Thay đổi"
23/04/2019,1.1225,1.1257,1.1264,1.1192,-0.27%
24/04/2019,1.1152,1.1229,1.1233,1.1140,-0.65%
25/04/2019,1.1130,1.1161,1.1164,1.1118,-0.20%
26/04/2019,1.1148,1.1131,1.1176,1.1111,0.16%
29/04/2019,1.1185,1.1152,1.1192,1.1141,0.33%
30/04/2019,1.1215,1.1186,1.1231,1.1175,0.27%
01/05/2019,1.1194,1.1215,1.1266,1.1187,-0.19%
02/05/2019,1.1176,1.1202,1.1221,1.1170,-0.16%
03/05/2019,1.1200,1.1178,1.1207,1.1135,0.21%
06/05/2019,1.1197,1.1172,1.1211,1.1159,-0.03%
07/05/2019,1.1190,1.1199,1.1222,1.1165,-0.06%
08/05/2019,1.1191,1.1191,1.1215,1.1182,0.01%
09/05/2019,1.1220,1.1192,1.1253,1.1172,0.26%
10/05/2019,1.1233,1.1215,1.1255,1.1214,0.12%
13/05/2019,1.1223,1.1242,1.1266,1.1221,-0.09%
14/05/2019,1.1203,1.1224,1.1247,1.1200,-0.18%
15/05/2019,1.1200,1.1204,1.1226,1.1177,-0.03%
16/05/2019,1.1172,1.1202,1.1227,1.1165,-0.25%
17/05/2019,1.1156,1.1174,1.1185,1.1154,-0.14%
20/05/2019,1.1170,1.1158,1.1177,1.1149,0.13%
21/05/2019,1.1158,1.1171,1.1188,1.1141,-0.11%
22/05/2019,1.1152,1.1167,1.1181,1.1147,-0.05%
23/05/2019,1.1180,1.1151,1.1189,1.1107,0.25%
24/05/2019,1.1202,1.1182,1.1214,1.1174,0.20%
27/05/2019,1.1196,1.1196,1.1216,1.1185,-0.05%
28/05/2019,1.1160,1.1199,1.1204,1.1158,-0.32%
29/05/2019,1.1129,1.1161,1.1174,1.1123,-0.28%
30/05/2019,1.1130,1.1132,1.1145,1.1115,0.01%
31/05/2019,1.1167,1.1135,1.1180,1.1125,0.33%
03/06/2019,1.1240,1.1168,1.1264,1.1156,0.65%
04/06/2019,1.1251,1.1241,1.1279,1.1226,0.10%
05/06/2019,1.1219,1.1251,1.1307,1.1219,-0.28%
06/06/2019,1.1274,1.1229,1.1309,1.1214,0.49%
07/06/2019,1.1331,1.1276,1.1349,1.1250,0.51%
10/06/2019,1.1312,1.1324,1.1331,1.1289,-0.17%
11/06/2019,1.1329,1.1312,1.1338,1.1301,0.15%
12/06/2019,1.1287,1.1326,1.1344,1.1281,-0.37%
13/06/2019,1.1275,1.1287,1.1305,1.1267,-0.11%
14/06/2019,1.1207,1.1283,1.1291,1.1201,-0.60%
17/06/2019,1.1217,1.1216,1.1248,1.1204,0.09%
18/06/2019,1.1191,1.1219,1.1243,1.1180,-0.23%
19/06/2019,1.1224,1.1193,1.1254,1.1186,0.29%
20/06/2019,1.1291,1.1226,1.1319,1.1226,0.60%
21/06/2019,1.1366,1.1292,1.1379,1.1282,0.66%
24/06/2019,1.1396,1.1361,1.1405,1.1361,0.26%
25/06/2019,1.1365,1.1399,1.1413,1.1343,-0.27%
26/06/2019,1.1368,1.1365,1.1392,1.1348,0.03%
27/06/2019,1.1368,1.1369,1.1382,1.1348,0.00%
28/06/2019,1.1368,1.1370,1.1394,1.1351,0.00%
01/07/2019,1.1285,1.1376,1.1376,1.1280,-0.73%
02/07/2019,1.1283,1.1286,1.1321,1.1274,-0.02%
03/07/2019,1.1277,1.1285,1.1312,1.1268,-0.05%
04/07/2019,1.1284,1.1278,1.1296,1.1272,0.06%
05/07/2019,1.1224,1.1285,1.1288,1.1207,-0.53%
08/07/2019,1.1214,1.1223,1.1235,1.1207,-0.09%
09/07/2019,1.1206,1.1215,1.1220,1.1193,-0.07%
10/07/2019,1.1249,1.1208,1.1264,1.1201,0.38%
11/07/2019,1.1252,1.1251,1.1286,1.1244,0.03%
12/07/2019,1.1269,1.1254,1.1276,1.1237,0.15%
15/07/2019,1.1257,1.1269,1.1285,1.1252,-0.11%
16/07/2019,1.1209,1.1257,1.1264,1.1201,-0.43%
17/07/2019,1.1223,1.1211,1.1235,1.1200,0.12%
18/07/2019,1.1275,1.1224,1.1281,1.1205,0.46%
19/07/2019,1.1220,1.1277,1.1283,1.1203,-0.49%
22/07/2019,1.1208,1.1218,1.1226,1.1206,-0.11%
23/07/2019,1.1151,1.1210,1.1211,1.1145,-0.51%
24/07/2019,1.1139,1.1152,1.1159,1.1127,-0.11%
25/07/2019,1.1145,1.1141,1.1188,1.1101,0.05%
26/07/2019,1.1125,1.1147,1.1151,1.1112,-0.18%
29/07/2019,1.1144,1.1127,1.1151,1.1113,0.17%
30/07/2019,1.1153,1.1144,1.1162,1.1132,0.08%
31/07/2019,1.1074,1.1155,1.1163,1.1059,-0.71%
01/08/2019,1.1083,1.1076,1.1096,1.1027,0.08%
02/08/2019,1.1107,1.1085,1.1118,1.1070,0.22%
05/08/2019,1.1202,1.1103,1.1214,1.1103,0.86%
06/08/2019,1.1198,1.1203,1.1250,1.1168,-0.04%
07/08/2019,1.1197,1.1199,1.1243,1.1179,-0.01%
08/08/2019,1.1178,1.1199,1.1233,1.1177,-0.17%
09/08/2019,1.1198,1.1180,1.1223,1.1179,0.18%
12/08/2019,1.1212,1.1204,1.1231,1.1162,0.13%
13/08/2019,1.1169,1.1214,1.1229,1.1170,-0.38%
14/08/2019,1.1138,1.1171,1.1192,1.1130,-0.28%
15/08/2019,1.1106,1.1139,1.1159,1.1091,-0.29%
16/08/2019,1.1089,1.1107,1.1114,1.1066,-0.15%
19/08/2019,1.1076,1.1092,1.1114,1.1076,-0.12%
20/08/2019,1.1099,1.1079,1.1107,1.1065,0.21%
21/08/2019,1.1083,1.1100,1.1108,1.1080,-0.14%
22/08/2019,1.1078,1.1085,1.1114,1.1063,-0.05%
23/08/2019,1.1144,1.1079,1.1154,1.1051,0.60%
26/08/2019,1.1100,1.1145,1.1166,1.1093,-0.39%
27/08/2019,1.1090,1.1103,1.1116,1.1085,-0.09%
28/08/2019,1.1077,1.1091,1.1099,1.1072,-0.12%
29/08/2019,1.1055,1.1077,1.1092,1.1042,-0.20%
30/08/2019,1.0989,1.1056,1.1062,1.0963,-0.60%
02/09/2019,1.0966,1.0989,1.1000,1.0957,-0.21%
03/09/2019,1.0972,1.0970,1.0979,1.0926,0.05%
04/09/2019,1.1033,1.0974,1.1039,1.0968,0.56%
05/09/2019,1.1033,1.1037,1.1085,1.1016,0.00%
06/09/2019,1.1027,1.1034,1.1057,1.1020,-0.05%
